Nr.,ZSK1,ZSK2,ZSK3,Vola4,Vola5,Vola6,Verlust7,Verlust8,MR9,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR17,MR18,MR19,MR20,EM,SCR,Quote
26,0.6066552996635437,0.3144756555557251,0.7832387089729309,0.03777718544006348,0.9791788458824158,0.9774225950241089,0.7028451561927795,0.8036160469055176,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1183151695.9647808,437118699.65445924,2.7067057458307273
27,0.4538843035697937,0.3352886438369751,0.03329974412918091,0.3500940799713135,0.8547281622886658,0.9132746458053589,0.20778900384902954,0.3512845039367676,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,808603474.8095677,748390700.8989923,1.0804563362936574
28,0.3045770525932312,0.6425853967666626,0.5332844853401184,0.584514856338501,0.9483408331871033,0.2418116331100464,0.39405304193496704,0.2768673896789551,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1360295978.7388027,648119390.3044668,2.0988354909421503
29,0.0970880389213562,0.2963024377822876,0.4783833622932434,0.030468225479125977,0.7667307257652283,0.3178919553756714,0.572062075138092,0.5240902900695801,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1677153359.695762,703887876.2354233,2.382699597932582
30,0.1684686541557312,0.6759105920791626,0.5583088994026184,0.13444161415100098,0.42356055974960327,0.4411524534225464,0.921030580997467,0.3209347724914551,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1680676268.6072066,514027010.16166806,3.2696263725102934
31,0.8793603777885437,0.7463604211807251,0.7375844120979309,0.4247400760650635,0.06829017400741577,0.9600886106491089,0.004847109317779541,0.14761018753051758,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,942609645.0111872,429665427.2249184,2.1938224145685243
32,0.1765405535697937,0.1673198938369751,0.5372059941291809,0.8383753299713135,0.38988441228866577,0.3078058958053589,0.02419525384902954,0.9020657539367676,0.7500000000000003,0.05000000000000006,0.7000000000000007,0.3,0.6666666666666666,0.5555555555555555,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1541042781.271451,888860180.6679463,1.7337291227439313
33,0.5127832293510437,0.4710918664932251,0.6883900761604309,0.19732308387756348,0.8755411505699158,0.1633356809616089,0.5201058983802795,0.22683382034301758,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1482881326.2161334,475419304.8794487,3.1191020452822062
34,0.9894372820854187,0.6348797082901001,0.4157765507698059,0.3589136600494385,0.35951942205429077,0.8051508665084839,0.31341034173965454,0.6906704902648926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,699299958.6513166,332603609.47566587,2.1025026149106756
35,0.2448083758354187,0.3687664270401001,0.7141163945198059,0.9638941287994385,0.04457801580429077,0.2499750852584839,0.47893768548965454,0.6940884590148926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1427535199.9957187,686661145.5915592,2.078951472878076
